,forecast
2025-10-22 00:05:00,23799.888860672712
2025-10-22 00:10:00,23688.442218065262
2025-10-22 00:15:00,23590.70093932748
2025-10-22 00:20:00,23519.407046675682
2025-10-22 00:25:00,23467.786300450563
2025-10-22 00:30:00,23433.421532779932
2025-10-22 00:35:00,23426.756142795086
2025-10-22 00:40:00,23433.14830687642
2025-10-22 00:45:00,23452.386495292187
2025-10-22 00:50:00,23482.69429898262
2025-10-22 00:55:00,23516.19708299637
2025-10-22 01:00:00,23550.182859897614
2025-10-22 01:05:00,23592.83738961816
2025-10-22 01:10:00,23629.863906413317
2025-10-22 01:15:00,23658.256925344467
2025-10-22 01:20:00,23687.851256877184
2025-10-22 01:25:00,23707.268364191055
2025-10-22 01:30:00,23717.324840188026
2025-10-22 01:35:00,23726.304277300835
2025-10-22 01:40:00,23726.10993435979
2025-10-22 01:45:00,23721.78371065855
2025-10-22 01:50:00,23718.637646585703
2025-10-22 01:55:00,23714.465222626925
2025-10-22 02:00:00,23705.642229378223
2025-10-22 02:05:00,23701.31027674675
2025-10-22 02:10:00,23694.668683856726
2025-10-22 02:15:00,23686.532721549273
2025-10-22 02:20:00,23677.84722262621
2025-10-22 02:25:00,23669.207995831966
2025-10-22 02:30:00,23661.083932071924
2025-10-22 02:35:00,23653.77029159665
2025-10-22 02:40:00,23647.28734600544
2025-10-22 02:45:00,23641.695028722286
2025-10-22 02:50:00,23636.946186244488
2025-10-22 02:55:00,23632.938138514757
2025-10-22 03:00:00,23629.598612874746
2025-10-22 03:05:00,23626.84079399705
2025-10-22 03:10:00,23624.469457566738
2025-10-22 03:15:00,23622.442297637463
2025-10-22 03:20:00,23620.74344947934
2025-10-22 03:25:00,23619.247317314148
2025-10-22 03:30:00,23617.966681063175
2025-10-22 03:35:00,23616.905066221952
2025-10-22 03:40:00,23615.982708454132
2025-10-22 03:45:00,23615.218997985125
2025-10-22 03:50:00,23614.583968102932
2025-10-22 03:55:00,23614.001820653677
2025-10-22 04:00:00,23613.44126686454
2025-10-22 04:05:00,23612.91949352622
2025-10-22 04:10:00,23612.367753475904
2025-10-22 04:15:00,23611.806318312883
2025-10-22 04:20:00,23611.25149345398
2025-10-22 04:25:00,23610.711651951075
2025-10-22 04:30:00,23610.192082047462
2025-10-22 04:35:00,23609.693224430084
2025-10-22 04:40:00,23609.213757038116
2025-10-22 04:45:00,23608.755883306265
2025-10-22 04:50:00,23608.315196365118
2025-10-22 04:55:00,23607.89345896244
2025-10-22 05:00:00,23607.491993159056
2025-10-22 05:05:00,23607.10947689414
2025-10-22 05:10:00,23606.74767291546
2025-10-22 05:15:00,23606.407462596893
2025-10-22 05:20:00,23606.09104937315
2025-10-22 05:25:00,23605.79843324423
2025-10-22 05:30:00,23605.528292149305
2025-10-22 05:35:00,23605.28062608838
2025-10-22 05:40:00,23605.05411300063
2025-10-22 05:45:00,23604.84610876441
2025-10-22 05:50:00,23604.655291318893
2025-10-22 05:55:00,23604.479457229376
2025-10-22 06:00:00,23604.31640306115
2025-10-22 06:05:00,23604.167450875044
2025-10-22 06:10:00,23604.029075175524
2025-10-22 06:15:00,23603.901716649532
2025-10-22 06:20:00,23603.78493461013
2025-10-22 06:25:00,23603.67784768343
2025-10-22 06:30:00,23603.57825243473
2025-10-22 06:35:00,23603.48614886403
2025-10-22 06:40:00,23603.40109628439
2025-10-22 06:45:00,23603.321772634983
2025-10-22 06:50:00,23603.24773722887
2025-10-22 06:55:00,23603.17899006605
2025-10-22 07:00:00,23603.115090459585
2025-10-22 07:05:00,23603.05515703559
2025-10-22 07:10:00,23602.998749107122
2025-10-22 07:15:00,23602.94718873501
2025-10-22 07:20:00,23602.8978317976
2025-10-22 07:25:00,23602.85244104266
2025-10-22 07:30:00,23602.810575783253
2025-10-22 07:35:00,23602.77135464549
2025-10-22 07:40:00,23602.734336942434
2025-10-22 07:45:00,23602.699963361025
2025-10-22 07:50:00,23602.668233901262
2025-10-22 07:55:00,23602.638707876205
2025-10-22 08:00:00,23602.610944598913
2025-10-22 08:05:00,23602.584944069386
2025-10-22 08:10:00,23602.561587661505
2025-10-22 08:15:00,23602.539112627506
2025-10-22 08:20:00,23602.518400341272
2025-10-22 08:25:00,23602.499450802803
2025-10-22 08:30:00,23602.481823325157
2025-10-22 08:35:00,23602.465077221394
2025-10-22 08:40:00,23602.449212491512
2025-10-22 08:45:00,23602.435110509396
2025-10-22 08:50:00,23602.42188990116
2025-10-22 08:55:00,23602.40955066681
2025-10-22 09:00:00,23602.39809280634
2025-10-22 09:05:00,23602.38751631975
2025-10-22 09:10:00,23602.377821207047
2025-10-22 09:15:00,23602.36812609434
2025-10-22 09:20:00,23602.3601937294
2025-10-22 09:25:00,23602.351379990578
2025-10-22 09:30:00,23602.34432899952
2025-10-22 09:35:00,23602.337718695402
2025-10-22 09:40:00,23602.331108391285
2025-10-22 09:45:00,23602.32537946105
2025-10-22 09:50:00,23602.319650530815
2025-10-22 09:55:00,23602.31436228752
2025-10-22 10:00:00,23602.31039610505
2025-10-22 10:05:00,23602.3055485487
2025-10-22 10:10:00,23602.301582366228
2025-10-22 10:15:00,23602.297616183758
2025-10-22 10:20:00,23602.29409068823
2025-10-22 10:25:00,23602.29100587964
2025-10-22 10:30:00,23602.28748038411
2025-10-22 10:35:00,23602.284836262465
2025-10-22 10:40:00,23602.281751453876
2025-10-22 10:45:00,23602.279988706112
2025-10-22 10:50:00,23602.277344584465
2025-10-22 10:55:00,23602.27514114976
2025-10-22 11:00:00,23602.272937715054
2025-10-22 11:05:00,23602.27117496729
2025-10-22 11:10:00,23602.269852906466
2025-10-22 11:15:00,23602.26764947176
2025-10-22 11:20:00,23602.265886723995
2025-10-22 11:25:00,23602.26456466317
2025-10-22 11:30:00,23602.26368328929
2025-10-22 11:35:00,23602.262361228466
2025-10-22 11:40:00,23602.261479854584
2025-10-22 11:45:00,23602.26015779376
2025-10-22 11:50:00,23602.25971710682
2025-10-22 11:55:00,23602.258395045996
